tracking_id	XH_1916	XH_1917	XH_1918	XH_1919	XH_1920	XH_1921	XH_1922	XH_1923	XH_1924
ENSMUSG00000026987	10.3736	8.55998	10.4179	30.6236	25.1875	12.5906	19.7941	9.52175	15.8357
ENSMUSG00000026988	13.9371	16.9285	12.3535	13.5623	18.0054	15.1095	8.92297	13.9322	12.3549
ENSMUSG00000026991	47.4531	47.3741	40.1906	47.8411	43.3006	46.8477	37.7504	41.979	47.8871
ENSMUSG00000026994	2.78298	2.14913	2.18446	1.32391	1.34596	0.579741	1.04361	0.470136	0.624973
ENSMUSG00000026999	37.2843	35.1358	39.5855	32.2927	34.8451	37.3495	38.8006	34.2443	37.2343
ENSMUSG00000027001	3.05403	3.35941	4.18267	2.74919	3.30872	4.76326	3.2896	3.27985	3.44693
ENSMUSG00000027002	51.7233	43.4196	44.4244	39.4816	34.2133	41.7223	41.119	39.4774	36.3148
ENSMUSG00000027006	16.4246	15.2597	18.4983	19.2092	21.5671	17.4309	18.9434	17.1241	17.8222
ENSMUSG00000027007	7.34357	6.12411	5.88929	7.39418	6.32507	6.28711	6.13411	5.57665	5.42761
ENSMUSG00000027010	14.4386	18.4518	17.8391	38.5299	47.3862	32.7825	28.3464	21.9739	35.4182
ENSMUSG00000027011	33.6479	29.9603	33.489	36.8166	24.6547	27.5337	25.0988	27.2352	26.3665
ENSMUSG00000027012	36.7474	33.0291	33.9054	42.402	47.9021	33.4694	39.446	33.0785	36.1483
ENSMUSG00000027014	34.8778	30.4453	40.036	30.2759	30.4262	36.4995	31.846	35.1319	30.2963
ENSMUSG00000027018	259.249	236.159	261.805	270.535	265.297	242.585	255.199	235.533	207.983
ENSMUSG00000027030	1.55419	1.35383	1.79859	4.84898	2.19902	0.691954	1.7702	1.08801	1.85009
ENSMUSG00000027035	3.31815	3.80408	4.23493	6.26936	8.34042	4.83003	4.05601	4.13002	4.07427
ENSMUSG00000027067	338.493	294.991	290.528	218.889	241.314	292.001	235.346	267.036	226.572
ENSMUSG00000027070	2.40135	1.73962	2.04045	2.42418	2.10952	2.1186	2.95794	2.42286	2.1559
ENSMUSG00000027074	2.03327	7.12989	4.44594	4.40271	8.39366	3.72295	4.05583	4.14275	4.29615
ENSMUSG00000027075	7.45271	12.2656	13.8314	23.8072	13.9455	14.3789	19.1676	12.0167	19.7577
ENSMUSG00000027076	67.5736	77.7618	64.279	57.1461	65.6294	79.5599	62.2216	70.6338	65.2172
ENSMUSG00000027077	0.305813	1.2831	1.53429	8.65052	6.96229	1.81359	4.53718	1.48675	3.39583
ENSMUSG00000027078	3.74521	8.56676	9.45667	15.6591	13.2839	7.48225	8.76017	7.29124	6.38183
ENSMUSG00000027079	25.5217	28.4939	31.1706	24.9658	28.0612	31.188	32.3815	30.2262	30.4227
ENSMUSG00000027080	16.6025	17.0537	19.2167	25.8998	21.6481	19.0807	22.3318	16.5062	21.0083
ENSMUSG00000027082	14.2007	21.8128	19.0872	74.8554	53.2526	22.178	59.8107	15.9907	47.8781
ENSMUSG00000027086	8.25162	8.98503	9.58026	11.7935	11.3418	9.33106	9.86932	9.37787	8.78753
ENSMUSG00000027087	6.71337	4.65699	6.81312	10.5944	7.2311	4.61969	6.38188	7.49058	6.03556
ENSMUSG00000027088	3.80203	4.82308	3.86556	10.1677	11.4515	2.9315	3.41214	3.40934	4.72455
ENSMUSG00000027091	105.503	97.8348	116.253	129.68	115.003	112.373	106.567	102.013	98.5227
ENSMUSG00000027099	30.0149	28.3088	27.7771	26.9512	30.3001	23.0598	24.0725	23.8802	22.9339
ENSMUSG00000027104	23.3972	23.0959	25.6263	28.939	27.7797	24.0985	29.2706	22.9945	25.0267
ENSMUSG00000027108	128.781	108.346	111.035	139.132	156.603	108.946	112.792	103.175	94.8499
ENSMUSG00000027109	32.1643	34.3717	30.4379	42.0304	46.314	31.8468	30.2828	28.9548	27.6998
