tracking_id	13_1	13_2	13_3	14_1	14_2	14_3
ENSMUSG00000000416	0.95924	0.0679253	0.471028	1.41977	1.65561	4.03815	
ENSMUSG00000000420	11.6357	5.61332	5.69327	5.83244	4.62039	5.08437	
ENSMUSG00000000435	0	0	0	0.0123716	0	0.0350267	
ENSMUSG00000000439	14.9544	23.4324	20.0484	14.5729	17.0977	15.0189	
ENSMUSG00000000440	1.81061	2.634	1.87433	0.722846	1.33738	1.03417	
ENSMUSG00000000441	35.2134	37.8171	41.0505	45.1849	42.3042	43.0902	
ENSMUSG00000000486	1.80511	1.10162	1.43812	0.790141	0.727748	1.48704	
ENSMUSG00000000489	1.20897	0.775978	0.637565	0.384464	0.299023	0.119693	
ENSMUSG00000000530	14.1451	13.233	15.2135	16.0821	16.3873	16.2495	
ENSMUSG00000000531	2.84204	0.607433	0.425109	0.814748	0.610224	0.683904	
ENSMUSG00000000532	0.396852	0.499565	0.170261	0.785134	0.76263	0.76072	
ENSMUSG00000000538	14.3605	19.5392	16.8106	22.3587	21.7002	19.4831	
ENSMUSG00000000544	6.32815	6.08192	7.11791	2.17442	2.50238	2.69285	
ENSMUSG00000000552	12.8746	12.6325	13.3482	9.66388	9.26059	11.0151	
ENSMUSG00000000555	63.8607	71.2498	67.3987	225.209	229.99	212.247	
ENSMUSG00000000560	0.994582	0.834144	0.901824	0.231502	0.0948992	0.192374	
ENSMUSG00000000561	39.4329	37.5259	47.7032	33.0256	36.9625	34.2753	
ENSMUSG00000000562	0.0496791	0	0.198173	0.0324191	0	0	
ENSMUSG00000000563	335.983	379.863	425.883	151.365	143.927	138.47	
ENSMUSG00000000567	0.787617	0.377218	0.4515	1.92734	1.83146	2.18093	
ENSMUSG00000000568	10.2355	4.72978	6.80427	3.11548	3.72838	2.47231	
ENSMUSG00000000579	2.00695	2.27965	2.36955	1.62412	1.49327	2.08855	
ENSMUSG00000000581	22.9535	25.6077	33.1748	29.6272	36.1997	34.9648	
ENSMUSG00000000594	54.692	63.096	69.3632	20.0093	20.7749	22.7882	
ENSMUSG00000000600	11.9661	15.2493	15.1349	29.6893	27.0413	27.3461	
ENSMUSG00000000605	15.9466	16.3126	19.5598	27.7399	27.2034	26.6464	
