tracking_id	13_1	13_2	13_3	14_1	14_2	14_3
ENSMUSG00000021876	108.979	113.396	129.097	131.578	128.446	135.77
ENSMUSG00000021877	997.533	1058.7	1179.95	606.001	552.321	555.121
ENSMUSG00000021884	11.1245	11.0547	10.1266	10.563	11.1734	9.65411
ENSMUSG00000021890	8.41474	11.2984	9.18939	12.9422	11.7578	12.5135
ENSMUSG00000021891	13.8291	15.6665	12.5908	37.6449	40.269	38.8203
ENSMUSG00000021892	11.051	11.7464	12.7651	14.8475	11.1446	11.2802
ENSMUSG00000021893	29.964	32.9506	29.7425	24.2602	19.1476	17.9202
ENSMUSG00000021895	7.96003	8.74028	8.65629	8.34129	6.14512	7.7017
ENSMUSG00000021900	7.57085	9.69061	8.81309	17.9617	16.9356	18.8171
ENSMUSG00000021901	19.4169	21.4609	23.4272	31.4874	32.19	28.176
ENSMUSG00000021902	5.13804	5.85328	7.13992	4.04162	5.12064	4.53005
ENSMUSG00000021905	64.5992	67.6675	81.9848	25.4821	28.1997	34.0677
ENSMUSG00000021906	12.5999	19.1295	14.1689	7.89198	17.9876	9.55476
ENSMUSG00000021908	0.832499	1.23614	0.414455	0.825302	1.1327	0.708633
ENSMUSG00000021910	235.712	215.558	176.202	250.086	214.968	193.053
ENSMUSG00000021911	12.2457	13.7807	11.4375	18.859	17.4489	18.4841
ENSMUSG00000021913	3.98265	4.93878	3.30968	3.01112	3.34905	2.73548
ENSMUSG00000021916	25.1697	17.211	18.6622	42.4142	32.196	38.4714
ENSMUSG00000021917	412.961	455.229	488.485	261.973	277.844	310.384
ENSMUSG00000021918	4.24427	3.75192	5.49732	4.52955	4.78608	4.82078
ENSMUSG00000021928	1.871	3.30507	2.07781	3.39668	4.81914	5.04846
ENSMUSG00000021929	34.2606	35.8608	33.3363	22.5301	23.6482	23.64
ENSMUSG00000021930	7.44755	7.62045	7.63342	5.70862	5.0858	5.33945
ENSMUSG00000021932	31.9522	38.6107	33.8531	9.93023	11.3051	11.2788
ENSMUSG00000021936	1.84544	1.97928	1.73228	2.81175	2.15689	3.00186
ENSMUSG00000021938	6.66881	5.56237	4.29088	4.76413	4.61018	4.58073
ENSMUSG00000021939	577.84	642.923	704.976	781.176	806.569	782.545
ENSMUSG00000021945	6.51316	9.15386	8.30199	24.1949	23.5456	20.1117
ENSMUSG00000021947	6.96017	8.83224	12.8269	5.38211	6.49185	4.42169
ENSMUSG00000021948	21.4375	21.3261	20.7015	56.2251	57.6781	57.6691
ENSMUSG00000021950	382.733	452.666	483.057	85.4568	81.4362	78.4219
ENSMUSG00000021951	61.6257	72.6282	74.4643	42.8629	42.6325	42.3913
ENSMUSG00000021952	8.65969	6.27854	5.89004	6.29481	6.55037	5.86789
ENSMUSG00000021953	9.66931	14.4207	9.98031	0.87273	0.63779	0.235783
ENSMUSG00000021957	220.85	219.333	251.615	119.569	120.948	122.245
ENSMUSG00000021958	8.9488	7.58049	9.12486	6.63744	8.48743	7.76494
ENSMUSG00000021959	13.1529	8.97924	8.70609	24.0446	17.8648	19.5493
ENSMUSG00000021962	4.21348	4.10952	3.0234	14.4427	13.994	12.0369
ENSMUSG00000021963	262.655	312.244	306.837	135.809	238.492	242.895
ENSMUSG00000021965	6.54338	5.76612	7.48488	10.0953	11.5354	8.9367
ENSMUSG00000021967	186.941	216.052	227.157	101.871	118.472	125.192
ENSMUSG00000021969	32.3003	35.5807	35.7296	44.7281	49.0577	44.7553
ENSMUSG00000021972	3.46831	4.35307	4.68013	5.34639	4.43082	4.11103
ENSMUSG00000021973	66.2299	35.4408	27.2439	29.8143	19.5493	23.8599
ENSMUSG00000021975	15.6247	16.1481	14.1989	9.89688	9.93547	11.4848
