tracking_id	15_1	15_2	15_3	16_1	16_2	16_3
ENSG00000182853	1.09049	1.05096	0	0.810347	0.234063	0.559666
ENSG00000182858	17.4792	21.9721	24.1353	21.408	17.8737	25.1253
ENSG00000182871	7.49578	4.5494	4.56863	7.8312	4.17731	5.4671
ENSG00000182872	27.9799	25.8851	32.1775	25.8159	26.4811	27.2594
ENSG00000182873	1.18512	0.453969	0.578465	1.32621	0.637362	1.66347
ENSG00000182890	1.12571	0.686614	0.243473	1.03222	0.305549	0.387439
ENSG00000182899	345.114	356.023	309.498	425.106	457.269	454.258
ENSG00000182902	1.60847	1.78253	2.06108	2.229	1.8265	1.41364
ENSG00000182903	17.3302	16.4529	22.3504	16.0895	13.4839	12.3599
ENSG00000182912	0.970344	0.111941	0.581818	1.04069	1.42215	0.233449
ENSG00000182916	2.02477	3.80732	1.94698	3.56641	4.94445	4.1426
ENSG00000182919	31.0452	31.6986	34.7903	32.186	32.4888	32.9358
ENSG00000182923	13.3915	10.2752	14.0983	15.7995	11.8967	15.1604
ENSG00000182934	79.9318	86.2186	93.393	94.2448	92.7272	90.8654
ENSG00000182944	311.777	350.839	370.776	286.699	313.982	329.973
ENSG00000182952	38.0336	40.4932	39.1922	33.888	37.3617	38.8895
ENSG00000182957	6.12926	7.4663	7.74904	5.69801	7.56812	6.23173
ENSG00000182963	9.42862	7.73881	6.41623	10.1739	5.16284	5.97678
ENSG00000182973	17.8863	19.0496	21.9094	22.9274	26.1936	24.3167
ENSG00000182979	6.50165	2.36823	2.84443	2.8033	2.16264	2.74475
ENSG00000182985	247.919	262.162	269.781	188.541	218.253	234.956
ENSG00000182986	13.8095	13.8023	9.20132	14.4864	12.8682	15.2519
ENSG00000182993	2.07664	2.02093	2.13917	2.1848	2.24221	2.59975
ENSG00000183010	85.4417	81.7505	96.9006	89.9892	101.833	116.703
ENSG00000183011	112.39	109.475	93.4163	109.367	119.682	108.015
ENSG00000183020	19.9829	15.8737	14.4223	20.8102	16.6908	25.8349
ENSG00000183032	1.16343	2.50228	1.50989	2.11849	1.60618	3.485
ENSG00000183034	0.786645	1.02898	1.10888	0.335159	0.395722	0.74691
ENSG00000183044	8.79898	7.62006	9.7786	11.9469	12.8312	10.9954
ENSG00000183048	11.8219	7.15866	7.65762	12.055	6.24238	9.19325
ENSG00000183049	1.98749	1.28619	1.8836	1.56975	1.22218	1.26836
ENSG00000183060	6.69981	7.70531	8.14651	9.18809	5.74026	8.15252
ENSG00000183072	2.63175	1.96709	2.15029	1.42822	1.8138	1.59498
ENSG00000183077	13.5323	18.0887	18.144	16.1337	18.181	20.2308
ENSG00000183091	1.83021	1.2294	2.20875	2.52136	1.65149	1.22211
ENSG00000183092	2.06859	2.00587	0.128711	3.93234	0.241918	0.175013
ENSG00000183098	17.8164	16.1743	22.5425	22.732	19.6756	24.8256
ENSG00000183111	1.90688	0.999595	0.680936	1.10943	2.10895	0.63028
ENSG00000183137	14.4243	22.2269	18.0157	18.7138	18.8828	16.5889
ENSG00000183150	0.926279	1.82463	1.4058	0.878761	1.121	1.43064
ENSG00000183155	22.4335	25.2804	22.9407	25.4898	22.4946	25.4516
ENSG00000183161	10.4215	11.3181	10.066	8.47809	8.49233	8.09417
